Targa2,0,1,2,3,4,5,6,E
AA,0.0977198697068404,0.778501628664495,0.123778501628664,0,0,0,0,0
AB,0.122494432071269,0.706013363028953,0.169265033407572,0.0022271714922049,0,0,0,0
AC,0.0983086680761099,0.613107822410148,0.288583509513742,0,0,0,0,0
AD,0.0780911062906725,0.553145336225597,0.368763557483731,0,0,0,0,0
AE,0.0978723404255319,0.506382978723404,0.395744680851064,0,0,0,0,0
AF,0.0592028135990621,0.311254396248535,0.629542790152403,0,0,0,0,0
AG,0.0798878766643308,0.330763840224247,0.589348283111423,0,0,0,0,0
AH,0.10880829015544,0.383419689119171,0.507772020725389,0,0,0,0,0
AJ,0.0823529411764706,0.345098039215686,0.572549019607843,0,0,0,0,0
AK,0.0722222222222222,0.238888888888889,0.688888888888889,0,0,0,0,0
AL,0.078125,0.1796875,0.7421875,0,0,0,0,0
AM,0.0741444866920152,0.180608365019011,0.745247148288973,0,0,0,0,0
AN,0.0553250345781466,0.0912863070539419,0.853388658367911,0,0,0,0,0
AP,0.0293542074363992,0.0332681017612524,0.937377690802348,0,0,0,0,0
AR,0.0696517412935323,0.0149253731343284,0.915422885572139,0,0,0,0,0
AS,0.0291310899045706,0.0226017076845806,0.948267202410849,0,0,0,0,0
AT,0.0521739130434783,0.0478260869565217,0.9,0,0,0,0,0
AV,0.0471451021477213,0.071765322158198,0.879518072289157,0.000523834468308015,0.000523834468308015,0,0,0.000523834468308015
AW,0.0727969348659004,0.0153256704980843,0.908045977011494,0.00383141762452107,0,0,0,0
AX,0.0382978723404255,0.0212765957446809,0.936170212765957,0.00425531914893617,0,0,0,0
AY,0.0353828306264501,0.0353828306264501,0.924593967517401,0.00464037122969838,0,0,0,0
AZ,0.0422960725075529,0.027190332326284,0.927492447129909,0.00302114803625378,0,0,0,0
BA,0.0602836879432624,0.0141843971631206,0.914893617021277,0.0106382978723404,0,0,0,0
BB,0.019211324570273,0.0176946410515672,0.950960566228514,0.0121334681496461,0,0,0,0
BC,0.0386904761904762,0.0178571428571429,0.916666666666667,0.0267857142857143,0,0,0,0
BD,0.0324846356453029,0.0210711150131694,0.927129060579456,0.019315188762072,0,0,0,0
BE,0.0214776632302405,0.0214776632302405,0.921821305841924,0.0352233676975945,0,0,0,0
BF,0.0106534090909091,0.0191761363636364,0.911221590909091,0.0575284090909091,0.00142045454545455,0,0,0
BG,0.0270758122743682,0.0162454873646209,0.867328519855596,0.0884476534296029,0.000902527075812274,0,0,0
BH,0.0194805194805195,0.0213358070500928,0.858070500927644,0.100185528756957,0.000927643784786642,0,0,0
BJ,0.0163755458515284,0.0163755458515284,0.831877729257642,0.132096069868996,0.00327510917030568,0,0,0
BK,0.00825658939345824,0.00920927278501111,0.787869164814227,0.170530327087964,0.0238170847888218,0,0,0.000317561130517625
BL,0.0291970802919708,0.0218978102189781,0.718978102189781,0.218978102189781,0.0109489051094891,0,0,0
BM,0.00937793060331354,0.00937793060331354,0.534229446702094,0.340731478587058,0.10628321350422,0,0,0
BN,0.00411734431291817,0.00463201235203294,0.222851260936696,0.590838908903757,0.177560473494596,0,0,0
