station_code,provider_id,municipality,name_en,name_it,name_de,standard_name,netex_type,netex_vehicletypes,netex_layout,netex_hazard_prohibited,netex_charging,netex_surveillance,netex_reservation,lat,lon
Bruneck-Mobilitaetszentrum,Bruneck-Mobilitaetszentrum,Brunico,Parking Bruneck Mobility Center ,Parcheggio Brunico Centro Mobilità,Parking Bruneck Mobility Center ,Parkplatz Bruneck Mobilitaetszentrum,urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Salurn-Bahnhof,Salurn-Bahnhof,Salorno,Parking Salurn Mobility Center ,Parcheggio Salorno Centro Mobilità,Parking Salurn Mobility Center ,Parkplatz Salurn Mobilitaetszentrum,urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.2459784652761,11.2035783419516
Bruneck-Mobilitaetszentrum_A031_12_STD,77886ba0-366e-4c59-ad88-f9adeb63da34,Brunico,Parking Bruneck Mobility Center (A031_12_STD),Parcheggio Brunico Centro Mobilità (A031_12_STD),Parking Bruneck Mobility Center (A031_12_STD),Parkplatz Bruneck Mobilitaetszentrum (A031_12_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Salurn-Stazion_A001_07_STD,463691b4-7141-4fcb-8428-51837c2ea99a,Salorno,Parking Salurn train station (A001_07_STD),Parcheggio Salorno stazione treni (A001_07_STD),Parking Salurn train station (A001_07_STD),Parkplatz Salurn Bahnhof (A001_07_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.2459784652761,11.2035783419516
Salurn-Banhof_A003_03_STD,19330904-ad63-4208-9090-cb3ceee03c8e,Salorno,Parking Salurn train station (A003_03_STD),Parcheggio Salorno stazione treni (A003_03_STD),Parking Salurn train station (A003_03_STD),Parkplatz Salurn Bahnhof (A003_03_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.2459784652761,11.2035783419516
Salurn-Banhof_A001_04_STD,463691b4-7141-4fcb-8428-51837c2ea99a,Salorno,Parking Salurn train station (A001_04_STD),Parcheggio Salorno stazione treni (A001_04_STD),Parking Salurn train station (A001_04_STD),Parkplatz Salurn Bahnhof (A001_04_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.2459784652761,11.2035783419516
Bruneck-Mobilitaetszentrum_A010_09_STD,ec7ed0b2-df10-4de9-befe-7df6e70aff42,Brunico,Parking Bruneck Mobility Center (A010_09_STD),Parcheggio Brunico Centro Mobilità (A010_09_STD),Parking Bruneck Mobility Center (A010_09_STD),Parkplatz Bruneck Mobilitaetszentrum (A010_09_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A009_05_STD,00859901-9358-455d-bd4e-862c2274921d,Brunico,Parking Bruneck Mobility Center (A009_05_STD),Parcheggio Brunico Centro Mobilità (A009_05_STD),Parking Bruneck Mobility Center (A009_05_STD),Parkplatz Bruneck Mobilitaetszentrum (A009_05_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A018_08_DIS,c42eb571-edca-42b6-907a-d1baa341c691,Brunico,Parking Bruneck Mobility Center (A018_08_DIS),Parcheggio Brunico Centro Mobilità (A018_08_DIS),Parking Bruneck Mobility Center (A018_08_DIS),Parkplatz Bruneck Mobilitaetszentrum (A018_08_DIS),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
Bruneck-Mobilitaetszentrum_A014_02_STD,98b43e3c-2ba9-42b7-9b4d-52a82c13ea76,Brunico,Parking Bruneck Mobility Center (A014_02_STD),Parcheggio Brunico Centro Mobilità (A014_02_STD),Parking Bruneck Mobility Center (A014_02_STD),Parkplatz Bruneck Mobilitaetszentrum (A014_02_STD),urbanParking,allPassengerVehicles,openSpace,false,false,true,noReservations,46.79246,11.92889
