guid,name,group,municipality
96a42bf6-02bc-40ec-986f-e7489d8815be,Rennweg 1 (Sensor X),Parcheggi zona via delle Corse,Meran - Merano
96c669eb-7a2c-4d72-8737-b73abf07232c,Ospedale 4 (Sensor 16),Parcheggi zona ospedale Merano,Meran - Merano
a5cfa0a1-62e7-4e5f-824c-b8b1847095b5,Rennweg 4 (Sensor X),Parcheggi zona via delle Corse,Meran - Merano
ad144abe-276a-4d6d-9ee8-58a922a1b67d,Innerhofer 6 (Sensor 6),Parcheggi zona via Innerhofer Merano,Meran - Merano
afb8e5ce-7780-489c-8e6b-feee9e22536f,Verdi (Sensor 25),Parcheggi zona via delle Corse,Meran - Merano
b4b00bb3-908c-4c3d-a8b8-9240dd187ca5,Stazione bici 2 (Sensor 9),Parcheggi zona stazione Merano,Meran - Merano
bca78138-f841-41e3-9922-61bd0c78aa17,Innerhofer 3 (Sensor 3),Parcheggi zona via Innerhofer Merano,Meran - Merano
bcf986ba-2ff8-46c1-9ec1-d4ffea758187,Mamming (Sensor 38),Parcheggi zona piazza Duomo Merano,Meran - Merano
d2992b6d-166b-496d-a7c1-ecd1ac8f17bd,Stazione davanti bici 1 (Sensor 11),Parcheggi zona stazione Merano,Meran - Merano
db7936a9-f814-eb11-9fb4-0003ff1aa9e5,Parksensoren Meran - PNI Independent Meran Parkplatz,Parcheggi zona stazione Merano,Meran - Merano
dc984b3b-5900-474d-9097-d3721a0f004f,Carducci (Sensor 35),Parcheggi zona Terme Merano,Meran - Merano
e2b2fab4-80f6-4752-bcf6-066ae497fc26,Chiesa Anglicana (Sensor 31),Parcheggi zona Terme Merano,Meran - Merano
2bb38981-d516-4c00-89bd-1e651f308454,Urania 2 (Sensor 2A),Parcheggi zona Terme Merano,Meran - Merano
f893b5e1-6f49-4c00-ad64-daebdec9a331,Terme sopra Tunnel 1 (Sensor 28),Parcheggi zona Terme Merano,Meran - Merano
cf38af72-af3c-47a9-a153-2053315c2194,Stazione 1 (Sensor 13),Parcheggi zona stazione Merano,Meran - Merano
