id,station_type,parent_id,carpark_id,name,municipality,name_en,name_it,name_de,standard_name,netex_type,netex_vehicletypes,netex_layout,netex_hazard_prohibited,netex_charging,netex_surveillance,netex_reservation,lat,lon
0404467,ParkingFacility,,,Parcheggio Via Dante,Bressanone - Brixen,Parking Dante Street,Parcheggio Via Dante,Parkplatz Dantestrasse,Parcheggio Via Dante,urbanParking,allPassengerVehicles,covered,true,false,true,noReservations,46.71602,11.6521
0404467_0,ParkingStation,0404467,0,Parcheggio Via Dante,Bressanone - Brixen,Parking Dante Street,Parcheggio Via Dante,Parkplatz Dantestrasse,Parcheggio Via Dante,urbanParking,allPassengerVehicles,covered,true,false,true,noReservations,46.71602,11.6521
0406009,ParkingFacility,,,Parcheggio Ribo Skyline,Bolzano - Bozen,Parking Ribo Skyline,Parcheggio Ribo Skyline,Parkplatz Ribo Skyline,Parcheggio Ribo Skyline,urbanParking,allPassengerVehicles,multistorey,true,false,true,noReservations,46.50013,11.36476
0406009_0,ParkingStation,0406009,0,Parcheggio Ribo Skyline,Bolzano - Bozen,Parking Ribo Skyline,Parcheggio Ribo Skyline,Parkplatz Ribo Skyline,Parcheggio Ribo Skyline,urbanParking,allPassengerVehicles,multistorey,true,false,true,noReservations,46.50013,11.36476
0600056,ParkingFacility,,,Parcheggio Habitat Adrian,Bolzano - Bozen,Parking Habitat Adrian,Parcheggio Habitat Adriano,Parkplatz Habitat Adrian,Parcheggio Habitat Adriano,urbanParking,allPassengerVehicles,underground,true,false,true,noReservations,46.4961991501228,11.3392009458585
0600056_0,ParkingStation,0600056,0,Parcheggio Habitat Adrian,Bolzano - Bozen,Parking Habitat Adrian,Parcheggio Habitat Adriano,Parkplatz Habitat Adrian,Parcheggio Habitat Adriano,urbanParking,allPassengerVehicles,underground,true,false,true,noReservations,46.4961991501228,11.3392009458585
0600056_1,ParkingStation,0600056,1,Parcheggio Direzional,Bolzano - Bozen,Parking Direzional ,Parcheggio Direzional,Parkplatz Direzional,Parcheggio Direzional,urbanParking,allPassengerVehicles,underground,true,false,true,noReservations,46.498401,11.338456
0600056_2,ParkingStation,0600056,2,Parcheggio Centro Europa 2,Bolzano - Bozen,Parking Centro Europa 2,Parcheggio Centro Europa 2,Parkplatz Centro Europa 2,Parcheggio Centro Europa 2,urbanParking,allPassengerVehicles,underground,true,false,true,noReservations,46.498401,11.338456
0600858,ParkingFacility,,,Parcheggio Urtijei - Stazione di Ortisei,Ortisei - St. Ulrich,Parking Urtijei - St. Ulrich Bahnhof,Parcheggio Urtijei - Stazione di Ortisei,Parkplatz Urtijei - St. Ulrich Bahnhof,Parcheggio Urtijei - Stazione di Ortisei,urbanParking,allPassengerVehicles,underground,true,false,true,noReservations,46.5756462588735,11.6693330913345
0600858_0,ParkingStation,0600858,0,Parcheggio Urtijei - Stazione di Ortisei,Ortisei - St. Ulrich,Parking Urtijei - St. Ulrich Bahnhof,Parcheggio Urtijei - Stazione di Ortisei,Parkplatz Urtijei - St. Ulrich Bahnhof,Parcheggio Urtijei - Stazione di Ortisei,urbanParking,allPassengerVehicles,underground,true,false,true,noReservations,46.5756462588735,11.6693330913345
