"code";"label"
P214251;"{""de"": ""Spielgerät kombiniert"", ""el"": ""Σύνθετο όργανο παιδικής χαράς"", ""en"": ""Complex play equipment"", ""fi"": ""Complex play equipment"", ""fr"": ""Équipement de jeu complexe"", ""he"": ""ציוד למשחק משולב"", ""hu"": ""Komplex játékeszköz"", ""it"": ""Gioco complesso"", ""pl"": ""Złożony sprzęt zabawowy"", ""ru"": ""Спорткомплекс"", ""sl"": ""Kompleksna igrala"", ""uk"": ""Складне ігрове обладнання"", ""zh"": ""Complex play equipment""}"
P214252;"{""de"": ""Anschlagetafel"", ""el"": ""Πίνακας ανακοινώσεων"", ""en"": ""Pin board"", ""fi"": ""Pin board"", ""fr"": ""Planche à épingles"", ""he"": ""לוח נעצים"", ""hu"": ""Hirdető tábla"", ""it"": ""Bacheca"", ""pl"": ""Tablica korkowa"", ""ru"": ""Стенд"", ""sl"": ""Oglasna deska"", ""uk"": ""Дошка оголошень"", ""zh"": ""Pin board""}"
P214253;"{""de"": ""Infotafel"", ""el"": ""Ενημερωτικός πίνακας"", ""en"": ""Information board"", ""fi"": ""Information board"", ""fr"": ""Information board"", ""he"": ""Information board"", ""hu"": ""Information board"", ""it"": ""Cartello info verde"", ""pl"": ""Tablica informacyjna"", ""ru"": ""Information board"", ""sl"": ""Oglasna deska"", ""uk"": ""Інформаційне табло"", ""zh"": ""Information board""}"
P214254;"{""de"": ""Werbeschild"", ""el"": ""Πίνακας διαφημίσεων"", ""en"": ""Advertising board"", ""fi"": ""Advertising board"", ""fr"": ""Advertising board"", ""he"": ""Advertising board"", ""hu"": ""Advertising board"", ""it"": ""Cartello pubblicitario"", ""pl"": ""Tablica ogłoszeń"", ""ru"": ""Advertising board"", ""sl"": ""Pano za ogašeanje"", ""uk"": ""Рекламний щит"", ""zh"": ""Advertising board""}"
P214255;"{""de"": ""Straßenschild"", ""el"": ""Οδική σήμανση"", ""en"": ""Road sign"", ""fi"": ""Road sign"", ""fr"": ""Road sign"", ""he"": ""Road sign"", ""hu"": ""Road sign"", ""it"": ""Cartello segnaletico"", ""pl"": ""Znak drogowy"", ""ru"": ""Road sign"", ""sl"": ""Prometni znak"", ""uk"": ""Дорожній знак"", ""zh"": ""Road sign""}"
P214256;"{""de"": ""Fahrradständer (Punkt)"", ""el"": ""Βάση ποδηλάτων (σημείο)"", ""en"": ""Bike rack (point)"", ""fi"": ""Bike rack (point)"", ""fr"": ""Bike rack (point)"", ""he"": ""Bike rack (point)"", ""hu"": ""Bike rack (point)"", ""it"": ""Rastrelliera porta biciclette - punto"", ""pl"": ""Stojak na rowery (punkt)"", ""ru"": ""Bike rack (point)"", ""sl"": ""Stojalo za kolesa - posamično"", ""uk"": ""Багажник для велосипеда (точка)"", ""zh"": ""Bike rack (point)""}"
P214259;"{""de"": ""Blumenkasten"", ""el"": ""Γλάστρα"", ""en"": ""Planter"", ""fi"": ""Planter"", ""fr"": ""Jardinière"", ""he"": ""עציץ"", ""hu"": ""Planténer"", ""it"": ""Fioriera"", ""pl"": ""Donica"", ""ru"": ""Вазон"", ""sl"": ""Lonec za rože"", ""uk"": ""Плантатор"", ""zh"": ""Planter""}"
P214260;"{""de"": ""Feststehender Betonpoller"", ""el"": ""Τσιμεντένιο κολωνάκι στάθμευσης"", ""en"": ""Cement parking bollard"", ""fi"": ""Cement parking bollard"", ""fr"": ""Cement parking bollard"", ""he"": ""Cement parking bollard"", ""hu"": ""Cement parking bollard"", ""it"": ""Dissuasore \""panettone in  cemento fisso\"""", ""pl"": ""Cementowy słupek parkingowy"", ""ru"": ""Cement parking bollard"", ""sl"": ""Ovira za parkiranje iz litega betonskega "", ""uk"": ""Цементний паркувальний стовпчик"", ""zh"": ""Cement parking bollard""}"
P214261;"{""de"": ""Parkpoller"", ""el"": ""Κολονάκι στάθμευσης"", ""en"": ""Parking bollard"", ""fi"": ""Parking bollard"", ""fr"": ""Parking bollard"", ""he"": ""Parking bollard"", ""hu"": ""Parking bollard"", ""it"": ""Dissuasore di sosta"", ""pl"": ""Słupek parkingowy"", ""ru"": ""Parking bollard"", ""sl"": ""Ovira za parkiranje"", ""uk"": ""Паркувальний стовпчик"", ""zh"": ""Parking bollard""}"
P214263;"{""de"": ""S.O.S.-Säule"", ""el"": ""Τηλεφωνικό θάλαμος S.O.S."", ""en"": ""S.O.S. callbox"", ""fi"": ""S.O.S. callbox"", ""fr"": ""S.O.S. callbox"", ""he"": ""S.O.S. callbox"", ""hu"": ""S.O.S. callbox"", ""it"": ""Colonnina S.O.S."", ""pl"": ""Kolumna SOS"", ""ru"": ""S.O.S. callbox"", ""sl"": ""Klicna govorilnica za S.O.S."", ""uk"": ""S.O.S. ящик виклику"", ""zh"": ""S.O.S. callbox""}"
P103109;"{""de"": ""Busch"", ""el"": ""Θάμνος"", ""en"": ""Shrub"", ""fi"": ""Shrub"", ""fr"": ""Arbuste"", ""he"": ""שיח"", ""hu"": ""Cerje"", ""it"": ""Cespuglio"", ""pl"": ""Krzew"", ""ru"": ""Куст"", ""sl"": ""Grm"", ""uk"": ""Чагарник"", ""zh"": ""Shrub""}"
P213201;"{""de"": ""Monument/Statue (Punkt)"", ""el"": ""Μνημείο/άγαλμα (σημείο)"", ""en"": ""Monument/statue (point)"", ""fi"": ""Monument/statue (point)"", ""fr"": ""Monument/statue (point)"", ""he"": ""Monument/statue (point)"", ""hu"": ""Monument/statue (point)"", ""it"": ""Monumento/statua - punto"", ""pl"": ""Pomnik"", ""ru"": ""Monument/statue (point)"", ""sl"": ""Spomenik/kip (točka)"", ""uk"": ""Пам'ятник/статуя (крапка)"", ""zh"": ""Monument/statue (point)""}"
P214000;"{""de"": ""Allgemeines Stadtmobiliar"", ""el"": ""Γενικός αστικός εξοπλισμός"", ""en"": ""Generic urban furniture"", ""fi"": ""Generic urban furniture"", ""fr"": ""Generic urban furniture"", ""he"": ""Generic urban furniture"", ""hu"": ""Generic urban furniture"", ""it"": ""Manufatto di arredo generico"", ""pl"": ""Meble miejskie ogólnie"", ""ru"": ""Generic urban furniture"", ""sl"": ""Ulično pohištvo"", ""uk"": ""Універсальні міські меблі"", ""zh"": ""Generic urban furniture""}"
