"code";"label"
"10";"{""de"": ""Sportanalage Kleinfeld-Fußball"", ""el"": ""Χώρος άθλησης - futsal"", ""en"": ""Sport area - futsal"", ""fi"": ""Sport area - futsal"", ""fr"": ""Aire de sport - futsal"", ""he"": ""Sport area - futsal"", ""hu"": ""Sportterület - futsal"", ""it"": ""Impianti sportivi - calcetto"", ""pl"": ""Obiekt sportowy - futsal"", ""ru"": ""Спорт - поле для футзала"", ""sl"": ""Športna igrišča - mali nogomet"", ""uk"": ""Спортивна зона - футзал"", ""zh"": ""Sport area - futsal""}"
"11";"{""de"": ""Sportanalge"", ""el"": ""Χώρος άθλησης - άλλος"", ""en"": ""Sport area - other"", ""fi"": ""Sport area - other"", ""fr"": ""Terrain de sport - autre"", ""he"": ""Sport area - other"", ""hu"": ""Sportterület - egyéb"", ""it"": ""Impianti sportivi - altro"", ""pl"": ""Obiekt sportowy - inne"", ""ru"": ""Спортивная площадка - другое"", ""sl"": ""Športna igrišča - druga"", ""uk"": ""Спортивна зона - інше"", ""zh"": ""Sport area - other""}"
"12";"{""de"": ""Gebäude"", ""el"": ""Κτίριο"", ""en"": ""Building"", ""fi"": ""Building"", ""fr"": ""Bâtiment"", ""he"": ""Building"", ""hu"": ""Épület"", ""it"": ""Edificio"", ""pl"": ""Budynek"", ""ru"": ""Здание"", ""sl"": ""Zgradbe"", ""uk"": ""Будівля"", ""zh"": ""Building""}"
"14";"{""de"": ""Stadtmöblierung"", ""el"": ""Αστικός Εξοπλισμός"", ""en"": ""Urban furniture"", ""fi"": ""Urban furniture"", ""fr"": ""Mobilier urbain"", ""he"": ""Urban furniture"", ""hu"": ""Utcabútor"", ""it"": ""Manufatto arredo urbano"", ""pl"": ""Meble miejskie"", ""ru"": ""Уличная мебель"", ""sl"": ""Ulično pohištvo"", ""uk"": ""Міські меблі"", ""zh"": ""Urban furniture""}"
"16";"{""de"": ""Bordstein"", ""el"": ""Πεζοδρόμιο"", ""en"": ""Kerb"", ""fi"": ""Kerb"", ""fr"": ""Bordure"", ""he"": ""Kerb"", ""hu"": ""Járdaszegély"", ""it"": ""Cordolo"", ""pl"": ""Krawężnik"", ""ru"": ""Бордюр"", ""sl"": ""Robniki"", ""uk"": ""Бордюр"", ""zh"": ""Kerb""}"
"18";"{""de"": ""Eingangstor"", ""el"": ""Πύλη"", ""en"": ""Gate"", ""fi"": ""Gate"", ""fr"": ""Barrière"", ""he"": ""Gate"", ""hu"": ""Kapu"", ""it"": ""Cancello"", ""pl"": ""Brama"", ""ru"": ""Ворота/Калитка"", ""sl"": ""Železna vrata (kapija)"", ""uk"": ""Ворота"", ""zh"": ""Gate""}"
"01";"{""de"": ""Wiese"", ""el"": ""Χλοοτάπητας"", ""en"": ""Lawn"", ""fi"": ""Lawn"", ""fr"": ""Pelouse"", ""he"": ""Lawn"", ""hu"": ""Gyep"", ""it"": ""Prato"", ""pl"": ""Trawnik"", ""ru"": ""Газон"", ""sl"": ""Trata"", ""uk"": ""Газон"", ""zh"": ""Lawn""}"
"02";"{""de"": ""Blumenbeet"", ""el"": ""Ανθώνας"", ""en"": ""Flowerbed"", ""fi"": ""Flowerbed"", ""fr"": ""Parterre de fleurs"", ""he"": ""Flowerbed"", ""hu"": ""Virágágy"", ""it"": ""Aiuola"", ""pl"": ""Rabata"", ""ru"": ""Клумба"", ""sl"": ""Cvetlične greda"", ""uk"": ""Клумба"", ""zh"": ""Flowerbed""}"
"03";"{""de"": ""Pflanze"", ""el"": ""Φυτό"", ""en"": ""Plant"", ""fi"": ""Plant"", ""fr"": ""Arbre"", ""he"": ""עץ"", ""hu"": ""Fa"", ""it"": ""Pianta"", ""pl"": ""Roślina"", ""ru"": ""Дерево"", ""sl"": ""Drevo"", ""uk"": ""Дерево"", ""zh"": ""Plant""}"
"05";"{""de"": ""Gepflasterte Fläche"", ""el"": ""Πλακόστρωτη επιφάνεια"", ""en"": ""Paved area"", ""fi"": ""Paved area"", ""fr"": ""Zone pavée"", ""he"": ""Paved area"", ""hu"": ""Burkolt terület"", ""it"": ""Area pavimentata"", ""pl"": ""Teren utwardzony"", ""ru"": ""Мощеная территория"", ""sl"": ""Tlakovana površina"", ""uk"": ""Брукована площа"", ""zh"": ""Paved area""}"
"07";"{""de"": ""Sportanlage Boccia-Bahn"", ""el"": ""Χώρος άθλησης - bocce"", ""en"": ""Sport area - bocce"", ""fi"": ""Sport area - bocce"", ""fr"": ""Terrain de sport - bocce"", ""he"": ""Sport area - bocce"", ""hu"": ""Sportterület - bocsa"", ""it"": ""Impianti sportivi - campo bocce"", ""pl"": ""Kort do gry w bule"", ""ru"": ""Спорт - площадка для бочче"", ""sl"": ""Športna igrišča - kegljišče "", ""uk"": ""Спортивна зона - боча"", ""zh"": ""Sport area - bocce""}"
"08";"{""de"": ""Sportanalagen Skatepark"", ""el"": ""Χώρος άθλησης - πατινάζ"", ""en"": ""Sport area - skating"", ""fi"": ""Sport area - skating"", ""fr"": ""Terrain de sport - patinage"", ""he"": ""Sport area - skating"", ""hu"": ""Sportterület - gördeszka"", ""it"": ""Impianti sportivi - pista schettinaggio"", ""pl"": ""Obiekt sportowy - lodowisko"", ""ru"": ""Спорт - роликовый каток"", ""sl"": ""Športna igrišča - skejterski poligon"", ""uk"": ""Спортивна зона - катання на ковзанах"", ""zh"": ""Sport area - skating""}"
"09";"{""de"": ""Sportanalage Fußball"", ""el"": ""Χώρος άθλησης - ποδόσφαιρο"", ""en"": ""Sport area - football"", ""fi"": ""Sport area - football"", ""fr"": ""Terrain de sport - football"", ""he"": ""Sport area - football"", ""hu"": ""Sportterület -  futball"", ""it"": ""Impianti sportivi - calcio"", ""pl"": ""Obiekt sportowy - piłka nożna"", ""ru"": ""Спорт - футбольное поле"", ""sl"": ""Športna igrišča - nogomet"", ""uk"": ""Спортивна зона - футбол"", ""zh"": ""Sport area - football""}"
"13";"{""de"": ""Konstruktion"", ""el"": ""Κατασκευή"", ""en"": ""Construction"", ""fi"": ""Construction"", ""fr"": ""Construction"", ""he"": ""Construction"", ""hu"": ""Építkezés"", ""it"": ""Manufatto edilizio architettonico"", ""pl"": ""Konstrukcje budowlane"", ""ru"": ""Архитектурное сооружение"", ""sl"": ""Gradnja"", ""uk"": ""Будівництво"", ""zh"": ""Construction""}"
"15";"{""de"": ""Mauer"", ""el"": ""Τοίχος"", ""en"": ""Wall"", ""fi"": ""Wall"", ""fr"": ""Mur"", ""he"": ""Wall"", ""hu"": ""Fal"", ""it"": ""Muro"", ""pl"": ""Mur"", ""ru"": ""Стена"", ""sl"": ""Zid"", ""uk"": ""Стіна"", ""zh"": ""Wall""}"
"17";"{""de"": ""Zaun"", ""el"": ""Τεχνητός φράχτης"", ""en"": ""Fence"", ""fi"": ""Fence"", ""fr"": ""Clôture"", ""he"": ""Fence"", ""hu"": ""Kerítés"", ""it"": ""Recinzione"", ""pl"": ""Ogrodzenie"", ""ru"": ""Ограда"", ""sl"": ""Ograja"", ""uk"": ""Паркан"", ""zh"": ""Fence""}"
"19";"{""de"": ""Sitzbank"", ""el"": ""Παγκάκι"", ""en"": ""Bench"", ""fi"": ""Bench"", ""fr"": ""Banc"", ""he"": ""Bench"", ""hu"": ""Pad"", ""it"": ""Panchina"", ""pl"": ""Ławka"", ""ru"": ""Скамейка"", ""sl"": ""Klop"", ""uk"": ""Лава"", ""zh"": ""Bench""}"
"30";"{""de"": ""Eingang"", ""el"": ""Είσοδος"", ""en"": ""Entrance"", ""fi"": ""Entrance"", ""fr"": ""Entrée"", ""he"": ""Entrance"", ""hu"": ""Bejárat"", ""it"": ""Accesso"", ""pl"": ""Wejście"", ""ru"": ""Вход"", ""sl"": ""Vhod"", ""uk"": ""Вхід"", ""zh"": ""Entrance""}"
"31";"{""de"": ""Treppe/Rampe"", ""el"": ""Σκάλες/ράμπα"", ""en"": ""Stairway/Ramp"", ""fi"": ""Stairway/Ramp"", ""fr"": ""Escalier/Rampes"", ""he"": ""Stairway/Ramp"", ""hu"": ""Lépcső/rámpa"", ""it"": ""Scala/Rampa"", ""pl"": ""Schody/Rampa"", ""ru"": ""Лестница/рампа"", ""sl"": ""Stopnice/klančina"", ""uk"": ""Сходи/пандус"", ""zh"": ""Stairway/Ramp""}"
"32";"{""de"": ""Element der Bewässerungsanlage"", ""el"": ""Στοιχείο μονάδας άρδευσης"", ""en"": ""Element of irrigation plant"", ""fi"": ""Element of irrigation plant"", ""fr"": ""Elément de l'installation d'irrigation"", ""he"": ""Element of irrigation plant"", ""hu"": ""Öntözőberendezés eleme"", ""it"": ""Elemento del sistema di irrigazione"", ""pl"": ""Element systemu nawadniania"", ""ru"": ""Элемент оросительной системы"", ""sl"": ""Del namakalnega sistema"", ""uk"": ""Елемент системи поливу"", ""zh"": ""Element of irrigation plant""}"
